date,ticker,open,high,low,close
2025-06-01T22:00:00.000Z,xauusd,3298.9,3305.91,3295.53,3303.23
2025-06-01T22:05:00.000Z,xauusd,3303.25,3309.21,3303.16,3308.44
2025-06-01T22:10:00.000Z,xauusd,3308.45,3309.72,3306.37,3307.49
2025-06-01T22:15:00.000Z,xauusd,3307.46,3308.75,3305.39,3307.2
2025-06-01T22:20:00.000Z,xauusd,3307.21,3307.28,3302.46,3302.81
2025-06-01T22:25:00.000Z,xauusd,3302.73,3304.88,3300.27,3304.04
2025-06-01T22:30:00.000Z,xauusd,3304.02,3304.87,3303.09,3303.86
2025-06-01T22:35:00.000Z,xauusd,3303.89,3304.14,3302.57,3304.14
2025-06-01T22:40:00.000Z,xauusd,3304.13,3305.9,3303.85,3305.78
2025-06-01T22:45:00.000Z,xauusd,3305.76,3308.23,3305.73,3307.79
2025-06-01T22:50:00.000Z,xauusd,3307.73,3311.32,3307.73,3310.5
2025-06-01T22:55:00.000Z,xauusd,3310.47,3315.05,3310.43,3313.18
2025-06-01T23:00:00.000Z,xauusd,3313.16,3316.73,3312.59,3315.27
2025-06-01T23:05:00.000Z,xauusd,3315.26,3315.26,3313.2,3314.1
2025-06-01T23:10:00.000Z,xauusd,3314.08,3314.63,3313.49,3313.75
2025-06-01T23:15:00.000Z,xauusd,3313.77,3314.1,3312.29,3312.95
2025-06-01T23:20:00.000Z,xauusd,3312.94,3313.5,3311.46,3312.89
2025-06-01T23:25:00.000Z,xauusd,3312.75,3312.75,3311.84,3312.16
2025-06-01T23:30:00.000Z,xauusd,3312.12,3312.94,3311.72,3312.65
2025-06-01T23:35:00.000Z,xauusd,3312.79,3313.24,3311.54,3312.3
2025-06-01T23:40:00.000Z,xauusd,3312.29,3312.35,3310.4,3311.42
2025-06-01T23:45:00.000Z,xauusd,3311.42,3312.4,3310.47,3311.67
2025-06-01T23:50:00.000Z,xauusd,3311.66,3311.68,3309.31,3310.97
2025-06-01T23:55:00.000Z,xauusd,3310.93,3311.47,3309.65,3310.31
2025-06-02T00:00:00.000Z,xauusd,3310.28,3312.59,3309.87,3311.7
2025-06-02T00:05:00.000Z,xauusd,3311.75,3313.69,3311.28,3313.4
2025-06-02T00:10:00.000Z,xauusd,3313.38,3314.84,3312.69,3313.16
2025-06-02T00:15:00.000Z,xauusd,3313.17,3314.99,3312.55,3313.3
2025-06-02T00:20:00.000Z,xauusd,3313.31,3313.77,3311.48,3312.38
2025-06-02T00:25:00.000Z,xauusd,3312.37,3314.38,3311.67,3312.97
2025-06-02T00:30:00.000Z,xauusd,3312.98,3313.63,3310.29,3310.92
2025-06-02T00:35:00.000Z,xauusd,3310.91,3311.59,3306.5,3306.79
2025-06-02T00:40:00.000Z,xauusd,3306.76,3307.76,3303.39,3307.49
2025-06-02T00:45:00.000Z,xauusd,3307.5,3310.76,3307.43,3308.81
2025-06-02T00:50:00.000Z,xauusd,3308.82,3311.12,3307.28,3310.98
2025-06-02T00:55:00.000Z,xauusd,3310.95,3311.63,3309.59,3311.43
2025-06-02T01:00:00.000Z,xauusd,3311.41,3313.29,3310.7,3311.77
2025-06-02T01:05:00.000Z,xauusd,3311.7,3313.67,3311.4,3313.15
2025-06-02T01:10:00.000Z,xauusd,3313.13,3313.87,3311.17,3312.36
2025-06-02T01:15:00.000Z,xauusd,3312.31,3313.46,3309.39,3309.41
2025-06-02T01:20:00.000Z,xauusd,3309.45,3310.53,3308.24,3309.64
2025-06-02T01:25:00.000Z,xauusd,3309.63,3311.04,3308.41,3309.41
2025-06-02T01:30:00.000Z,xauusd,3309.42,3310.86,3307.09,3307.55
2025-06-02T01:35:00.000Z,xauusd,3307.53,3309.01,3303.95,3308.63
2025-06-02T01:40:00.000Z,xauusd,3308.62,3308.62,3305.73,3306.53
2025-06-02T01:45:00.000Z,xauusd,3306.52,3307.24,3303.85,3303.97
2025-06-02T01:50:00.000Z,xauusd,3304.0,3305.71,3302.58,3303.74
2025-06-02T01:55:00.000Z,xauusd,3303.75,3303.98,3301.57,3303.65
2025-06-02T02:00:00.000Z,xauusd,3303.66,3306.74,3303.43,3306.61
2025-06-02T02:05:00.000Z,xauusd,3306.58,3308.82,3306.58,3307.37
2025-06-02T02:10:00.000Z,xauusd,3307.39,3308.96,3307.25,3308.49
2025-06-02T02:15:00.000Z,xauusd,3308.51,3311.6,3307.76,3307.94
2025-06-02T02:20:00.000Z,xauusd,3307.98,3308.47,3306.48,3306.76
2025-06-02T02:25:00.000Z,xauusd,3306.75,3308.21,3306.54,3306.97
2025-06-02T02:30:00.000Z,xauusd,3306.95,3309.75,3306.85,3308.43
2025-06-02T02:35:00.000Z,xauusd,3308.48,3309.08,3307.51,3308.42
2025-06-02T02:40:00.000Z,xauusd,3308.41,3308.87,3306.83,3307.27
2025-06-02T02:45:00.000Z,xauusd,3307.33,3308.5,3306.7,3307.66
2025-06-02T02:50:00.000Z,xauusd,3307.64,3308.74,3305.62,3306.61
2025-06-02T02:55:00.000Z,xauusd,3306.6,3308.07,3305.21,3307.42
2025-06-02T03:00:00.000Z,xauusd,3307.36,3307.7,3306.4,3306.84
2025-06-02T03:05:00.000Z,xauusd,3306.89,3307.8,3305.86,3305.92
2025-06-02T03:10:00.000Z,xauusd,3305.9,3306.15,3304.64,3305.42
2025-06-02T03:15:00.000Z,xauusd,3305.4,3307.45,3305.15,3306.01
2025-06-02T03:20:00.000Z,xauusd,3306.02,3308.46,3306.02,3307.86
2025-06-02T03:25:00.000Z,xauusd,3307.85,3308.28,3305.63,3305.64
2025-06-02T03:30:00.000Z,xauusd,3305.6,3305.62,3304.05,3304.8
2025-06-02T03:35:00.000Z,xauusd,3304.79,3304.96,3303.49,3304.5
2025-06-02T03:40:00.000Z,xauusd,3304.53,3305.97,3304.28,3305.48
2025-06-02T03:45:00.000Z,xauusd,3305.49,3307.53,3305.19,3307.21
2025-06-02T03:50:00.000Z,xauusd,3307.22,3307.94,3306.97,3307.7
2025-06-02T03:55:00.000Z,xauusd,3307.71,3308.98,3306.28,3308.77
2025-06-02T04:00:00.000Z,xauusd,3308.78,3311.46,3308.78,3311.23
2025-06-02T04:05:00.000Z,xauusd,3311.13,3311.67,3309.64,3310.8
